,i1,i2,i3,i4,i7,i8,i9,i13,i14,i15,i16,i17,i18,i19,i20,i21,i25,i26,i27,i28,i29,i30,i31,i32,i33,i34,i35
0,5,5,3,4,4,5,5,1,3,5,5,3,5,5,5,5,5,5,4,3,4,5,5,5,4,4,4
1,2,3,4,3,2,2,3,2,2,4,2,1,1,4,4,2,1,1,2,1,2,3,5,2,1,4,4
2,4,5,2,5,5,4,3,5,5,4,5,5,4,5,5,4,5,5,4,4,5,5,5,5,5,4,5
3,5,4,4,3,4,5,4,2,5,5,4,5,5,4,4,5,5,4,5,3,3,4,5,5,4,4,4
4,3,5,2,4,4,5,4,4,5,4,5,4,5,4,4,4,5,4,2,5,5,4,5,5,4,4,4
5,5,4,1,4,3,2,4,4,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,4,5,5
6,5,5,4,3,4,5,5,3,5,4,3,5,5,5,4,5,4,5,5,4,5,5,5,5,2,5,4
7,5,5,1,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,3,4,4,2,4,1,5,4,3,4,5,2,4,3,4,3,4,5,4,4,5,2,4,5,5,5,5
9,5,4,2,3,3,5,5,5,5,5,4,4,4,4,4,5,5,5,5,4,5,4,4,5,5,5,5
10,4,5,1,5,5,4,5,2,5,4,5,5,5,5,5,5,5,5,4,5,2,4,5,4,5,5,5
11,5,3,1,4,4,2,5,4,5,5,5,5,5,4,4,5,4,5,4,5,4,3,5,5,4,4,4
12,5,5,5,4,3,2,3,3,5,5,4,2,5,5,2,5,5,5,4,3,3,4,5,4,5,5,3
13,5,5,1,4,4,5,5,5,5,4,5,5,3,4,5,5,5,5,5,5,5,3,5,4,4,4,3
14,4,4,2,3,2,3,4,2,4,5,4,4,4,4,3,2,3,4,4,4,5,3,5,2,2,3,3
